pincode,latitude,longitude
400001,18.9385352,72.836334
400002,18.948367,72.825936
400003,18.9531926,72.8353005
400004,18.9579877,72.8214399
400005,18.9103689,72.8197581
400006,18.9540855,72.8004477
400007,18.9618411,72.8133825
400008,18.9671396,72.8286571
400009,18.9485731,72.83174
400010,18.9701884,72.8459619
400011,18.9810451,72.8267579
400012,18.9954208,72.8366115
400013,18.9981729,72.8274691
400014,19.0147962,72.8454534
400015,18.9960872,72.8528356
400016,19.0389455,72.8420546
400017,19.0455916,72.8537063
400018,18.9985145,72.8173545
400019,19.0269012,72.8553773
400020,18.9351176,72.8264378
400604,19.1988028,72.9549149
400605,19.1943854,72.9992013
400603,19.1834148,72.9781047
400080,19.1720804,72.948255
400081,19.1660696,72.9645628
400082,19.1836782,72.9426822
